"","dilution","GO","GO.perm","PERMANOVA","Betadisper","KS","WS","DHT"
"1",0,0.055,0.05,1,0.065,0.665,0.96,0.94
"2",0.1,0.04,0.04,1,0.04,0.605,0.82,0.78
"3",0.2,0.015,0.015,0.985,0.02,0.48,0.655,0.615
"4",0.3,0.06,0.06,0.85,0.06,0.4,0.505,0.48
"5",0.4,0.035,0.04,0.58,0.035,0.27,0.265,0.255
"6",0.5,0.02,0.02,0.295,0.025,0.165,0.115,0.145
"7",0.6,0.035,0.035,0.1,0.03,0.115,0.05,0.09
"8",0.7,0.065,0.065,0.06,0.065,0.11,0.07,0.095
"9",0.8,0.04,0.035,0.015,0.035,0.085,0.045,0.075
"10",0.9,0.035,0.03,0.015,0.04,0.04,0.035,0.03
"11",1,0.035,0.03,0.02,0.045,0.045,0.04,0.04
