"","V1","V2","V3","V4","V5","V6","V7"
"1",0.747342788138621,0.751,0.712,0.831,0.833,0.895,0.863
"2",0.688450161860945,0.686,0.984,0.69,0.82,0.866,0.853
"3",0.258658236234075,0.243,0.912,0.272,0.291,0.286,0.318
"4",0.786489528717513,0.773,0.59,0.759,0.949,0.944,0.961
"5",0.144812298148044,0.137,0.216,0.143,0.199,0.143,0.167
"6",0.385698440216946,0.423,0.365,0.367,0.449,0.403,0.45
"7",0.119953594303851,0.107,0.739,0.136,0.099,0.129,0.124
"8",0.363829999850048,0.37,0.4,0.338,0.417,0.414,0.453
"9",0.960285472309632,0.964,0.285,0.909,0.986,0.996,0.989
"10",0.971079235281404,0.97,0.224,0.87,0.311,0.201,0.226
"11",0.656839256101351,0.666,0.756,0.656,0.738,0.793,0.78
"12",0.777410329522467,0.782,0.88,0.822,0.727,0.848,0.77
"13",0.592129842220364,0.597,0.368,0.641,0.48,0.492,0.527
"14",0.863040550145184,0.86,0.777,0.796,0.788,0.718,0.757
"15",0.717201275927242,0.722,0.665,0.646,0.7,0.701,0.742
"16",0.700011778473483,0.694,0.449,0.731,0.574,0.739,0.617
"17",0.1041125502651,0.098,0.394,0.095,0.137,0.096,0.119
"18",0.294332284798583,0.272,0.838,0.275,0.215,0.302,0.248
"19",0.4760602815152,0.473,0.499,0.458,0.334,0.474,0.372
"20",0.640376915146288,0.622,0.605,0.68,0.568,0.685,0.606
"21",0.46189221353143,0.471,0.447,0.475,0.388,0.567,0.436
"22",0.0503162799287482,0.059,0.907,0.048,0.037,0.04,0.045
"23",0.883797001532042,0.898,0.326,0.829,0.909,0.889,0.912
"24",0.811131860404361,0.807,0.556,0.898,0.954,0.989,0.962
"25",0.0727860711224497,0.091,0.296,0.072,0.087,0.08,0.097
"26",0.433022625736435,0.416,0.508,0.45,0.45,0.451,0.498
"27",0.232566518376396,0.231,0.781,0.212,0.252,0.253,0.282
"28",0.781668484512382,0.763,0.501,0.738,0.89,0.879,0.899
"29",0.522337546337174,0.506,0.768,0.49,0.715,0.62,0.658
"30",0.445110613980378,0.439,0.958,0.418,0.174,0.239,0.202
"31",0.0840017945002384,0.096,0.549,0.081,0.066,0.089,0.08
"32",0.223532068667032,0.216,0.629,0.188,0.092,0.236,0.11
"33",0.284313087380925,0.287,0.479,0.283,0.494,0.359,0.394
"34",0.108643799052901,0.119,0.479,0.106,0.046,0.077,0.059
"35",0.935748730219929,0.941,0.595,0.965,0.997,0.994,0.997
"36",0.65773792311234,0.662,0.718,0.705,0.817,0.854,0.85
"37",0.887089085500605,0.899,0.957,0.843,0.947,0.969,0.958
"38",0.871737559879455,0.896,0.976,0.881,0.923,0.923,0.936
"39",0.486746280622033,0.498,0.983,0.491,0.501,0.571,0.548
"40",0.921880764442774,0.926,0.632,0.882,0.803,0.828,0.836
"41",0.705779631626821,0.703,0.824,0.661,0.74,0.71,0.753
"42",0.811089720131991,0.798,0.829,0.817,0.811,0.858,0.84
"43",0.533353884815275,0.527,0.942,0.596,0.399,0.592,0.446
"44",0.87181278227098,0.874,0.964,0.761,0.496,0.406,0.459
"45",0.446839807220725,0.439,0.452,0.409,0.384,0.444,0.433
"46",0.973082556547621,0.973,0.375,0.995,0.83,0.806,0.841
"47",0.617736453005383,0.606,0.356,0.633,0.805,0.755,0.79
"48",0.441403683536086,0.466,0.924,0.46,0.604,0.529,0.573
"49",0.7734640648403,0.755,0.975,0.745,0.918,0.917,0.937
"50",0.255958960369203,0.261,0.568,0.266,0.275,0.261,0.291
