"","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0.405165070553568,0.428,0.708,0.388,0.546,0.499,0.553
"2",0.807743323170465,0.813,0.571,0.851,0.619,0.554,0.603
"3",0.0615078187289897,0.066,0.139,0.062,0.063,0.058,0.07
"4",0.339551632202153,0.321,0.861,0.326,0.407,0.397,0.438
"5",0.4114650299401,0.403,0.685,0.404,0.531,0.469,0.507
"6",0.616768999364403,0.605,0.577,0.608,0.578,0.695,0.612
"7",0.215456931108038,0.226,0.163,0.241,0.204,0.238,0.228
"8",0.721289297385679,0.73,0.608,0.718,0.681,0.744,0.706
"9",0.694371022600168,0.678,0.836,0.662,0.679,0.796,0.718
"10",0.588302508052237,0.578,0.175,0.597,0.534,0.667,0.567
"11",0.833779919510762,0.821,0.733,0.883,0.808,0.702,0.739
"12",0.41870521443345,0.416,0.299,0.455,0.33,0.388,0.359
"13",0.18647289525476,0.18,0.438,0.174,0.229,0.195,0.213
"14",0.826604696887483,0.819,0.705,0.835,0.66,0.746,0.686
"15",0.132333790500667,0.143,0.911,0.137,0.175,0.141,0.161
"16",0.281219425065006,0.285,0.78,0.255,0.388,0.304,0.342
"17",0.721792048234836,0.718,0.858,0.716,0.869,0.87,0.891
"18",0.613193494131886,0.617,0.79,0.613,0.772,0.684,0.721
"19",0.28804928641451,0.272,0.826,0.286,0.357,0.315,0.339
"20",0.985062799652785,0.987,0.777,0.972,0.982,0.986,0.991
"21",0.645349969554391,0.643,0.635,0.666,0.564,0.664,0.6
"22",0.852568538473705,0.847,0.141,0.874,0.963,0.952,0.965
"23",0.982825900665871,0.985,0.352,0.978,0.928,0.931,0.943
"24",0.139347008421559,0.154,0.831,0.123,0.126,0.144,0.147
"25",0.210331097076376,0.185,0.218,0.22,0.243,0.209,0.228
"26",0.858624037392787,0.85,0.631,0.864,0.843,0.91,0.873
"27",0.915492039249898,0.919,0.898,0.966,0.693,0.532,0.573
"28",0.997654535651362,0.998,0.316,0.996,0.919,0.946,0.935
"29",0.525972951491539,0.536,0.928,0.486,0.429,0.404,0.44
"30",0.866350429318249,0.88,0.373,0.892,0.882,0.832,0.861
"31",0.21647034405547,0.216,0.629,0.223,0.224,0.236,0.248
"32",0.694552838973872,0.706,0.343,0.721,0.624,0.665,0.661
"33",0.206606118167258,0.2,0.992,0.189,0.45,0.224,0.249
"34",0.391412365472742,0.388,0.428,0.394,0.399,0.438,0.435
"35",0.904112022681023,0.902,0.758,0.953,0.761,0.624,0.664
"36",0.43485577563647,0.458,0.49,0.411,0.337,0.48,0.373
"37",0.213149063906598,0.195,0.051,0.249,0.22,0.201,0.222
"38",0.794386149057594,0.799,0.953,0.769,0.743,0.786,0.78
"39",0.921170508322842,0.934,0.057,0.927,0.985,0.972,0.983
"40",0.432254590689775,0.433,0.179,0.408,0.554,0.489,0.53
"41",0.263259454594566,0.262,0.486,0.26,0.229,0.275,0.267
"42",0.200957965679537,0.187,0.059,0.198,0.177,0.172,0.195
"43",0.253326010987649,0.252,0.857,0.269,0.364,0.261,0.291
"44",0.628799333033182,0.649,0.373,0.68,0.436,0.555,0.468
"45",0.459454244898042,0.456,0.885,0.504,0.39,0.415,0.43
"46",0.791694608982774,0.792,0.722,0.79,0.788,0.814,0.818
"47",0.0866938451179178,0.093,0.05,0.092,0.108,0.076,0.085
"48",0.149920777639428,0.163,0.794,0.151,0.094,0.146,0.11
"49",0.31363654141988,0.303,0.39,0.332,0.187,0.315,0.216
"50",0.968146484172717,0.965,0.334,0.994,0.87,0.739,0.771
"51",0.937364736965021,0.938,0.443,0.902,0.919,0.849,0.877
"52",0.283183623807121,0.296,0.79,0.258,0.232,0.303,0.26
"53",0.402982881548248,0.409,0.801,0.392,0.483,0.437,0.469
"54",0.79027753367085,0.782,0.776,0.779,0.802,0.912,0.834
"55",0.167255268043973,0.181,0.06,0.194,0.075,0.11,0.084
"56",0.412416534415402,0.42,0.987,0.393,0.527,0.447,0.476
"57",0.753434330255217,0.742,0.001,0.758,0.904,0.896,0.917
"58",0.387271341027724,0.374,0.552,0.392,0.411,0.469,0.452
"59",0.00128336305766896,0.002,0.797,0.005,0.002,0.002,0.002
"60",0.497045731459212,0.498,0.808,0.499,0.625,0.561,0.6
"61",0.689189068015502,0.673,0.367,0.691,0.951,0.876,0.897
"62",0.0603021178768276,0.041,0.446,0.055,0.077,0.067,0.078
"63",0.69629806289764,0.713,0.183,0.649,0.516,0.582,0.547
"64",0.396722649717782,0.393,0.64,0.398,0.255,0.365,0.274
"65",0.690464981345926,0.641,0.756,0.7,0.785,0.836,0.812
"66",0.0920825004850078,0.095,0.665,0.084,0.089,0.089,0.105
"67",0.446268520191319,0.444,0.58,0.469,0.5,0.514,0.539
"68",0.667311040491427,0.681,0.097,0.665,0.508,0.521,0.551
"69",0.225835232523793,0.229,0.805,0.186,0.248,0.262,0.272
"70",0.948933243863637,0.935,0.18,0.956,0.917,0.931,0.934
"71",0.240289757934629,0.257,0.578,0.228,0.207,0.233,0.227
"72",0.90876470962054,0.921,0.215,0.933,0.828,0.684,0.73
"73",0.917095849666701,0.927,0.136,0.921,0.9,0.89,0.912
"74",0.697278464934588,0.71,0.234,0.7,0.902,0.869,0.888
"75",0.495721402447619,0.487,0.764,0.509,0.438,0.499,0.463
"76",0.197764864631706,0.176,0.992,0.209,0.266,0.206,0.23
"77",0.779761706107893,0.755,0.502,0.823,0.573,0.509,0.552
"78",0.0227152148613812,0.017,0.641,0.023,0.01,0.021,0.012
"79",0.76593022344066,0.778,0.865,0.716,0.272,0.231,0.261
"80",0.00576504505378184,0.006,0.025,0.008,0.013,0.005,0.006
"81",0.914310054054165,0.898,0.809,0.952,0.919,0.804,0.833
"82",0.52811514892488,0.543,0.256,0.548,0.642,0.604,0.645
"83",0.85344379892202,0.86,0.903,0.879,0.915,0.961,0.931
"84",0.863173154475672,0.855,0.041,0.86,0.951,0.933,0.947
"85",0.746293394533418,0.75,0.725,0.763,0.613,0.597,0.633
"86",0.362206883528869,0.364,0.964,0.407,0.195,0.242,0.219
"87",0.691844014378073,0.661,0.868,0.742,0.448,0.374,0.407
"88",0.931411617323439,0.923,0.569,0.919,0.98,0.926,0.945
"89",0.633464110164495,0.64,0.182,0.608,0.673,0.61,0.647
"90",0.882320891729294,0.888,0.99,0.862,0.94,0.94,0.952
"91",0.355417018954059,0.349,0.08,0.36,0.379,0.406,0.413
"92",0.775774530309725,0.749,0.11,0.776,0.807,0.872,0.834
"93",0.438743462767323,0.429,0.423,0.449,0.52,0.516,0.561
"94",0.981905246253382,0.979,0.605,0.955,0.525,0.524,0.563
"95",0.40581815255252,0.439,0.99,0.4,0.377,0.442,0.418
"96",0.0167282870168719,0.015,0.208,0.023,0.012,0.014,0.015
"97",0.676867074434879,0.679,0.968,0.703,0.642,0.79,0.679
"98",0.852392901377498,0.86,0.252,0.856,0.882,0.922,0.901
"99",0.859051852834257,0.859,0.991,0.808,0.702,0.64,0.672
"100",0.934761090706204,0.94,0.624,0.882,0.717,0.529,0.563
"101",0.269307668725312,0.276,0.244,0.29,0.269,0.295,0.313
"102",0.339020617497819,0.345,0.346,0.331,0.554,0.389,0.415
"103",0.811641825247162,0.797,0.959,0.812,0.956,0.941,0.957
"104",0.0534779623492504,0.064,0.383,0.056,0.059,0.055,0.065
"105",0.241727878718826,0.234,0.728,0.211,0.096,0.213,0.116
"106",0.847100252311881,0.865,0.338,0.857,0.938,0.973,0.951
"107",0.953605950214219,0.959,0.336,0.958,0.984,0.999,0.988
"108",0.78767809640253,0.813,0.301,0.808,0.775,0.834,0.805
"109",0.478877212794378,0.48,0.668,0.498,0.581,0.511,0.549
"110",0.0525585491281323,0.063,0.023,0.06,0.092,0.058,0.068
"111",0.0476626476565474,0.052,0.311,0.046,0.037,0.048,0.046
"112",0.173327418548447,0.171,0.063,0.175,0.161,0.172,0.181
"113",0.838826091232515,0.835,0.87,0.811,0.791,0.8,0.819
"114",0.946676000759115,0.952,0.354,0.906,0.787,0.602,0.658
"115",0.0234653230061286,0.021,0.784,0.025,0.037,0.03,0.036
"116",0.6666288240465,0.657,0.036,0.692,0.668,0.784,0.7
"117",0.197952984571425,0.189,0.586,0.193,0.288,0.212,0.239
"118",0.831490242590473,0.84,0.472,0.848,0.914,0.904,0.919
"119",0.5020666522846,0.467,0.667,0.493,0.455,0.572,0.496
"120",0.00387527759543504,0.004,0.029,0.004,0.007,0.006,0.007
"121",0.268118563586794,0.244,0.512,0.245,0.414,0.276,0.304
"122",0.466717737340569,0.482,0.883,0.392,0.293,0.423,0.319
"123",0.781514414825572,0.783,0.261,0.736,0.795,0.727,0.769
"124",0.983648292914273,0.992,0.218,0.965,0.917,0.838,0.862
"125",0.174667779387953,0.17,0.304,0.173,0.147,0.166,0.162
"126",0.726569048718066,0.715,0.92,0.761,0.446,0.435,0.465
"127",0.786388499648825,0.802,0.487,0.828,0.717,0.703,0.737
"128",0.414058319802196,0.389,0.676,0.4,0.475,0.402,0.434
"129",0.703966045818029,0.706,0.346,0.726,0.509,0.52,0.561
