"","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0.911965168539107,0.95,0.281,0.972,0.959462070059817,0.793775307121102,0.995
"2",0.0956235715926723,0.123,0.266,0.057,0.103741735314589,0.0627379389372688,0.121
"3",0.024045882294141,0.025,0.03,0.044,0.891930066444745,0.999995776307709,0.036
"4",0.682205130876286,0.715,0.621,0.551,0.0865035553092302,0.487635417448735,0.256
"5",0.620750556739906,0.658,0.714,0.616,0.320646843776364,0.33863083446207,0.298
"6",0.854240454580879,0.849,0.544,0.844,0.909073606159563,0.841489108507004,0.91
"7",0.960334510169553,0.96,0.168,0.923,0.970725410071726,0.952762371484874,0.837
"8",0.960447261252836,0.955,0.37,0.934,0.657381967166435,0.804860934173179,0.633
"9",0.899141378136088,0.934,0.591,0.946,0.681013162652258,0.629586747979255,0.721
"10",0.44796576549663,0.438,0.959,0.412,0.174518598522871,0.51209780391274,0.298
"11",0.164116689096822,0.142,0.263,0.195,0.330569747475587,0.114228164795424,0.246
"12",0.525672657536321,0.525,0.74,0.614,0.638369988182762,0.592501844900664,0.666
"13",0.817985816090492,0.824,0.17,0.852,0.602263194945153,0.571788007651198,0.634
"14",0.456070214503644,0.461,0.429,0.387,0.373322668524232,0.3072228184477,0.401
"15",0.34283662860445,0.352,0.391,0.333,0.965408313711046,0.895938209434721,0.335
"16",0.566079886819112,0.631,0.251,0.542,0.300581873280379,0.448802901958266,0.411
"17",0.757803479027011,0.792,0.612,0.756,0.847854447110687,0.78198527464435,0.898
"18",0.758619275359016,0.781,0.912,0.742,0.374062349204196,0.573112142670554,0.532
"19",0.731588501362602,0.727,0.546,0.725,0.56357771488479,0.563399864104082,0.61
"20",0.65397646879852,0.646,0.721,0.713,0.6978778229067,0.78706628882825,0.774
"21",0.811758700900723,0.824,0.278,0.856,0.915544992199493,0.940206091398057,0.956
"22",0.260317171709539,0.262,0.328,0.265,0.820335805645401,0.759456639931436,0.428
"23",0.815290821872985,0.834,0.319,0.778,0.84545002622882,0.876627481549208,0.842
"24",0.991320471573146,0.997,0.109,0.97,0.891866319603335,0.903331996459828,0.901
"25",0.260985984241734,0.263,0.248,0.339,0.960753019640825,0.99999577666154,0.53
"26",0.160029252041504,0.157,0.91,0.224,0.39480955620749,0.304503233100819,0.197
"27",0.410488338257206,0.399,0.153,0.427,0.641593232514026,0.433428120878566,0.496
"28",0.275036091254025,0.3,0.75,0.215,0.691388761196552,0.68132897651611,0.493
"29",0.715753816107283,0.713,0.52,0.729,0.825490643814516,0.641104273618694,0.848
"30",0.551171790977609,0.554,0.117,0.545,0.360557736077676,0.510269555980863,0.484
"31",0.494673712499019,0.505,0.372,0.579,0.422998147926563,0.899725809580253,0.473
