"","GO","GO-perm","PERMANOVA","BETADISPER","KS.original","WS.original","DHT"
"1",0.824683266173384,0.816,0.822,0.655,0.395,0.547,0.462
"2",0.987922487716787,0.988,0.67,0.948,0.832,0.892,0.892
"3",0.803555583282355,0.804,0.856,0.789,0.91,0.914,0.938
"4",0.469889120864069,0.499,0.652,0.391,0.369,0.393,0.439
"5",0.8585542153823,0.865,0.651,0.678,0.273,0.369,0.344
"6",0.110526488925291,0.112,0.014,0.157,0.094,0.097,0.119
"7",0.698853514608089,0.701,0.43,0.638,0.705,0.731,0.774
"8",0.0023456059520448,0.004,0.842,0.004,0.01,0.008,0.01
"9",0.133939924084215,0.157,0.788,0.105,0.102,0.137,0.134
"10",0.0564745846275687,0.061,0.766,0.042,0.023,0.065,0.033
"11",0.0380877463656206,0.038,0.894,0.026,0.016,0.033,0.021
"12",0.604505717572337,0.616,0.449,0.726,0.58,0.277,0.364
"13",0.940652358032769,0.935,0.834,1,0.783,0.881,0.85
"14",0.306472326562387,0.309,0.063,0.319,0.265,0.297,0.323
"15",0.897485965367253,0.891,0.471,0.892,0.956,0.984,0.972
"16",0.214227815837496,0.215,0.651,0.237,0.31,0.262,0.311
"17",0.902407702345566,0.901,0.731,0.779,0.811,0.812,0.859
"18",0.839361181120119,0.829,0.29,0.853,0.868,0.974,0.905
"19",0.214034744402182,0.217,0.088,0.186,0.066,0.133,0.097
"20",0.907893098485517,0.918,0.91,0.926,0.795,0.864,0.861
"21",0.956050339522315,0.941,0.71,0.883,0.914,0.933,0.943
"22",0.380860024681884,0.378,0.991,0.441,0.454,0.393,0.453
"23",0.0527267223044816,0.042,0.905,0.054,0.209,0.06,0.09
"24",0.33257985020999,0.34,0.651,0.356,0.187,0.362,0.242
"25",0.59659722490902,0.578,0.302,0.607,0.87,0.8,0.84
"26",0.834864238701987,0.838,0.622,0.792,0.676,0.787,0.744
"27",0.55726502635579,0.59,0.783,0.528,0.397,0.773,0.484
"28",0.592002123913816,0.59,0.152,0.541,0.764,0.778,0.814
"29",0.744044395408333,0.738,0.638,0.728,0.922,0.95,0.943
"30",0.540939040391197,0.562,0.195,0.433,0.127,0.365,0.177
"31",0.875955346827665,0.888,0.12,0.884,0.921,0.969,0.951
"32",0.780313985613367,0.786,0.41,0.772,0.975,0.98,0.987
"33",0.78446910472291,0.791,0.105,0.707,0.964,0.879,0.933
"34",0.453480277386394,0.437,0.075,0.296,0.35,0.521,0.402
"35",0.500038649769729,0.495,0.009,0.524,0.818,0.699,0.761
"36",0.328262345371445,0.339,0.348,0.349,0.528,0.401,0.466
"37",0.917605760509855,0.917,0.037,0.794,0.807,0.6,0.654
"38",0.869571177102522,0.89,0.13,0.789,0.84,0.909,0.872
"39",0.0405345779608537,0.031,0.423,0.043,0.117,0.054,0.078
"40",0.13930096718234,0.16,0.519,0.154,0.309,0.18,0.241
"41",0.663272891859653,0.673,0.664,0.63,0.601,0.758,0.651
"42",0.643713163811881,0.639,0.039,0.709,0.566,0.462,0.528
"43",0.0957409300459354,0.087,0.744,0.131,0.325,0.125,0.162
"44",0.343552719620056,0.335,0.187,0.472,0.62,0.42,0.498
"45",0.0406178140659393,0.03,0.815,0.053,0.159,0.04,0.058
"46",0.898786315707574,0.889,0.205,0.852,0.645,0.737,0.705
"47",0.573340324121817,0.568,0.939,0.684,0.527,0.332,0.389
"48",0.857907504290983,0.87,0.891,0.931,0.289,0.597,0.39
"49",0.668702371109264,0.669,0.426,0.713,0.709,0.791,0.761
"50",0.748478721495506,0.722,0.555,0.663,0.773,0.736,0.78
"51",0.73663769072504,0.74,0.877,0.656,0.424,0.624,0.489
"52",0.122612851910854,0.118,0.211,0.104,0.167,0.154,0.19
"53",0.955971792341023,0.951,0.401,0.85,0.892,0.927,0.926
"54",0.701723756754681,0.715,0.984,0.685,0.764,0.718,0.776
"55",0.495692872149055,0.503,0.797,0.571,0.653,0.516,0.583
"56",0.58564234917765,0.591,0.176,0.689,0.482,0.54,0.561
"57",0.523394486624512,0.527,0.323,0.607,0.763,0.559,0.616
"58",0.864255455438594,0.885,0.889,0.866,0.99,0.979,0.987
"59",0.385525675817273,0.394,0.565,0.375,0.373,0.527,0.457
"60",0.0175894284298024,0.023,0.859,0.015,0.018,0.015,0.02
"61",0.322903298955629,0.33,0.147,0.21,0.134,0.294,0.175
"62",0.915539433629197,0.912,0.928,0.956,0.704,0.595,0.638
"63",0.126268178371765,0.122,0.286,0.172,0.27,0.163,0.208
"64",0.477023797468626,0.474,0.464,0.518,0.743,0.607,0.683
"65",0.802376783674951,0.833,0.727,0.7,0.24,0.275,0.307
"66",0.352439804640011,0.354,0.912,0.324,0.191,0.252,0.225
"67",0.517712247447734,0.507,0.924,0.411,0.275,0.455,0.323
"68",0.815339138896151,0.801,0.483,0.779,0.278,0.512,0.345
"69",0.439695485029773,0.436,0.737,0.493,0.863,0.618,0.711
"70",0.875579401144359,0.875,0.44,0.959,0.659,0.589,0.655
"71",0.941440743569092,0.947,0.09,0.902,0.385,0.325,0.384
"72",0.0961159853526682,0.083,0.635,0.092,0.42,0.115,0.156
"73",0.396792095199844,0.393,0.291,0.354,0.173,0.166,0.205
"74",0.276423314505902,0.274,0.121,0.275,0.785,0.357,0.426
"75",0.65524390682475,0.656,0.748,0.679,0.403,0.519,0.462
"76",0.343605001482976,0.36,1,0.315,0.278,0.484,0.324
"77",0.585292003135259,0.573,0.145,0.699,0.474,0.439,0.502
"78",0.126933549231873,0.115,0.498,0.163,0.177,0.139,0.179
"79",0.234254100407478,0.225,0.967,0.289,0.388,0.251,0.286
"80",0.892590606316795,0.892,0.654,0.976,0.816,0.827,0.858
"81",0.204740703759395,0.214,0.102,0.16,0.175,0.237,0.229
"82",0.54611389191626,0.594,0.726,0.47,0.112,0.162,0.151
"83",0.532834211129213,0.544,0.835,0.522,0.21,0.554,0.262
"84",0.926968515365962,0.935,0.649,0.957,0.869,0.933,0.921
"85",0.639259767258515,0.662,0.789,0.632,0.889,0.888,0.914
"86",0.779385824176896,0.774,0.959,0.784,0.954,0.932,0.958
"87",0.532116232638041,0.536,0.965,0.448,0.695,0.644,0.698
"88",0.875634544931779,0.856,0.732,0.882,0.558,0.79,0.63
"89",0.372997896317348,0.362,0.427,0.398,0.531,0.439,0.504
"90",0.159214707921648,0.154,0.184,0.167,0.32,0.205,0.282
"91",0.0527134235798203,0.071,0.589,0.056,0.097,0.073,0.106
"92",0.254444413716616,0.264,0.679,0.231,0.344,0.246,0.307
"93",0.408034487982382,0.378,0.789,0.429,0.283,0.448,0.344
"94",0.841455887862838,0.842,0.008,0.857,0.865,0.904,0.891
"95",0.698131274529319,0.685,0.781,0.789,0.887,0.757,0.815
"96",0.439184718077272,0.45,0.131,0.359,0.264,0.443,0.312
"97",0.0706362019328748,0.09,0.811,0.086,0.205,0.08,0.105
"98",0.737504435645386,0.722,0.571,0.789,0.83,0.82,0.863
"99",0.0853729473087714,0.093,0.266,0.091,0.044,0.067,0.059
"100",0.0503201813535303,0.038,0.338,0.053,0.264,0.053,0.072
"101",0.790535038109078,0.806,0.002,0.814,0.986,0.995,0.991
"102",0.889135486327965,0.887,0.537,0.923,0.39,0.422,0.46
"103",0.966019944784536,0.97,0.569,0.927,0.993,0.996,0.995
"104",0.197378919190659,0.196,0.342,0.238,0.139,0.193,0.179
"105",0.477368404292122,0.469,0.503,0.502,0.559,0.675,0.628
"106",0.296692769213245,0.296,0.725,0.403,0.419,0.312,0.388
"107",0.173215667116392,0.181,0.988,0.19,0.433,0.187,0.224
"108",0.668731963518953,0.663,0.667,0.774,0.789,0.748,0.821
"109",0.282905256751659,0.306,0.975,0.253,0.199,0.391,0.254
"110",0.821342333672811,0.839,0.379,0.855,0.881,0.947,0.914
"111",0.029412821826755,0.027,0.447,0.027,0.067,0.036,0.052
"112",0.6525213865807,0.69,0.065,0.846,0.416,0.4,0.474
"113",0.742582982507963,0.739,0.47,0.622,0.373,0.447,0.437
"114",0.0573686216398489,0.057,0.5,0.043,0.033,0.063,0.044
"115",0.91168054308925,0.905,0.892,0.91,0.438,0.528,0.521
"116",0.53078141892884,0.537,0.401,0.65,0.757,0.466,0.593
"117",0.657676072116691,0.645,0.872,0.656,0.831,0.832,0.867
"118",0.317118289387948,0.33,0.361,0.469,0.381,0.238,0.291
"119",0.165555172710795,0.165,0.483,0.217,0.351,0.171,0.237
"120",0.0681557498486072,0.064,0.047,0.069,0.087,0.061,0.075
"121",0.00756357045886413,0.006,0.722,0.008,0.019,0.003,0.004
"122",0.126225035347687,0.117,0.386,0.135,0.163,0.143,0.182
"123",0.542925382163558,0.56,0.282,0.7,0.285,0.236,0.282
"124",0.338033003498959,0.345,0.075,0.281,0.341,0.347,0.431
"125",0.506973003773835,0.551,0.227,0.495,0.671,0.909,0.734
"126",0.964957060864277,0.955,0.913,0.962,0.924,0.964,0.945
"127",0.804506596640579,0.816,0.261,0.826,0.568,0.801,0.638
"128",0.395224077498835,0.393,0.636,0.496,0.48,0.435,0.494
"129",0.0677160514195378,0.089,0.346,0.07,0.123,0.084,0.105
"130",0.401270852438507,0.426,0.246,0.432,0.395,0.47,0.467
"131",0.754702611471814,0.768,0.997,0.799,0.756,0.694,0.757
"132",0.664905483592477,0.655,0.173,0.721,0.813,0.839,0.85
"133",0.383852779262952,0.402,0.334,0.388,0.255,0.398,0.303
"134",0.406706658393749,0.427,0.675,0.506,0.573,0.506,0.568
"135",0.578377873891154,0.588,0.75,0.677,0.735,0.669,0.728
"136",0.839645813181755,0.85,0.618,0.853,0.747,0.537,0.612
"137",0.150739556464052,0.124,0.176,0.127,0.273,0.178,0.225
"138",0.628456114391066,0.636,0.875,0.64,0.928,0.932,0.957
"139",0.791833524945515,0.808,0.987,0.771,0.582,0.6,0.647
"140",0.429764862861928,0.425,0.306,0.435,0.58,0.631,0.656
"141",0.268286606284471,0.29,0.767,0.211,0.328,0.336,0.382
"142",0.466831911073333,0.494,0.668,0.466,0.298,0.37,0.346
